bias_dim,singular_value
0,1572.8557350433448
1,988.3829814072491
2,225.07721580588398
3,1.8593575773529545e-11
4,4.4370017945634676e-13
5,2.724863397244987e-13
6,6.030132886414731e-14
7,3.730976002042643e-14
8,3.627502466390993e-14
9,3.081860377795727e-14
10,2.8081604673424665e-14
11,2.5470000118197286e-14
12,2.118370485072995e-14
13,1.8947922128875035e-14
14,1.8219750693793303e-14
15,1.7276746386133225e-14
16,1.6009165912288214e-14
17,1.508354794638366e-14
18,1.4116514408733413e-14
19,1.3695402747077091e-14
20,1.3012271487986604e-14
21,1.2100670983047151e-14
22,1.0531957970410987e-14
23,9.201933442426241e-15
